"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.139708337E-3,-1.623657766E-1,-1.941620582E-1,7.079633296E-2,2.628187037E-1
1.719470833E-2,-3.645835438E-1,-1.333153474E-1,-7.267460480E-2,3.949376413E-1
2.724970834E-2,-2.339289719E-1,-6.440766513E-2,8.976060748E-3,2.427996723E-1
3.730470833E-2,-1.590939671E-2,-7.277561545E-2,1.983667910E-2,7.709016115E-2
4.736070834E-2,1.189352900E-2,6.637759209E-2,1.093721688E-2,6.831590939E-2
5.741570833E-2,1.909548787E-1,1.009966171E-1,3.118407816E-2,2.182579417E-1
6.747070834E-2,2.475044525E-1,8.758193493E-2,-2.087689877E-2,2.633721592E-1
7.752570833E-2,2.240518552E-1,1.104579967E-1,-4.015399933E-2,2.530070088E-1
8.758070834E-2,1.039909579E-1,3.925294340E-2,-7.279447272E-2,1.328681608E-1
9.763570833E-2,-7.709670782E-2,1.420054793E-2,-1.246181989E-1,1.472251793E-1
1.076917083E-1,-1.207771629E-1,8.662649989E-3,-1.706656069E-1,2.092580081E-1
1.177467083E-1,-2.414841592E-2,-2.699776411E-2,-1.952946639E-1,1.986253534E-1
1.278017083E-1,4.605060568E-2,-1.598453343E-2,-1.592736228E-1,1.665660545E-1
1.378567083E-1,1.418575448E-1,-1.377604008E-3,-9.529792070E-2,1.709010079E-1
1.479117083E-1,2.236662313E-1,2.297195613E-2,5.241034806E-2,2.308703931E-1
1.579667083E-1,2.198082384E-1,3.978913307E-2,1.587922508E-1,2.740689981E-1
1.680227083E-1,2.450050601E-1,-3.001434267E-2,1.921091008E-1,3.127846653E-1
1.780777083E-1,2.306358383E-1,-4.721392751E-2,1.417356303E-1,2.747927105E-1
1.881327083E-1,1.246909967E-1,-7.624769211E-4,8.194580376E-2,1.492097208E-1
1.981877083E-1,1.734402934E-2,3.648194790E-2,2.340845078E-2,4.668729425E-2
2.082427083E-1,-1.434731305E-2,-3.929738224E-2,-2.390809536E-2,4.818429896E-2
2.182977083E-1,5.232380927E-3,-5.756057560E-2,-3.612526774E-2,6.815887795E-2
2.283537083E-1,-3.782943875E-2,-2.747489691E-2,-1.500804842E-2,4.910374643E-2
2.384087083E-1,-6.656117639E-2,-1.051972568E-2,-5.010186732E-3,6.757334387E-2
2.484637083E-1,-8.634349465E-2,1.114479303E-2,2.163820624E-2,8.970851381E-2
2.585187083E-1,-4.666487396E-2,-4.997615218E-3,2.914603114E-2,5.524561295E-2
2.685737083E-1,4.518085063E-2,2.962024033E-2,7.513087392E-2,9.253818734E-2
2.786287083E-1,7.707008472E-2,3.780809641E-2,7.246556684E-2,1.123410365E-1
2.886847083E-1,5.424461961E-2,8.734570742E-3,1.110362864E-1,1.238863526E-1
2.987397083E-1,3.382731199E-2,5.482934117E-3,1.103159094E-1,1.155160139E-1
3.087947083E-1,1.015684748E-1,1.271184683E-2,8.453670502E-2,1.327561698E-1
3.188497083E-1,1.378586340E-1,3.156560898E-2,3.811858356E-2,1.464732639E-1
3.289047083E-1,5.958080688E-2,-1.566761434E-2,2.721147984E-2,6.734843223E-2
3.389597083E-1,2.650308967E-2,-7.506655455E-3,2.405193686E-2,3.656855623E-2
3.490157083E-1,3.651061753E-2,5.132978261E-2,3.004036278E-2,6.978678364E-2
3.590707083E-1,7.504287332E-2,3.519322157E-2,1.320593655E-2,8.393087895E-2
3.691257083E-1,8.398618966E-2,-1.062906861E-2,-6.692021370E-2,1.079118722E-1
3.791807083E-1,3.224739432E-4,-2.315438926E-2,-1.271161294E-1,1.292081270E-1
3.892357083E-1,-1.645377249E-2,5.262494087E-4,-1.281738907E-1,1.292267381E-1
3.992907083E-1,-4.322789887E-2,4.282676160E-2,-1.620697613E-1,1.731166956E-1
4.093467083E-1,-6.788907906E-2,-3.283796310E-3,-1.840513453E-1,1.962004283E-1
