"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.255791570E-3,-3.077598636E-1,-6.448601782E-2,1.446601152E-1,3.461229970E-1
1.724479161E-2,-1.444990245E-1,-8.353449225E-2,7.423016882E-1,7.608349202E-1
2.723279165E-2,-1.634729469E-1,-1.839650989E-1,9.060026765E-1,9.388330053E-1
3.722179157E-2,-2.566312252E-1,-2.645204347E-1,6.631871063E-1,7.587145603E-1
4.721079161E-2,-4.678067806E-1,-2.516413575E-1,2.832017040E-1,6.019715624E-1
5.719979166E-2,-6.637610105E-1,-2.056693786E-1,-1.807912302E-1,7.180278833E-1
6.718779157E-2,-4.468076751E-1,-1.616299045E-1,-5.167213708E-1,7.019702982E-1
7.717679162E-2,-1.940442368E-1,-3.249999404E-2,-6.071421289E-1,6.382248665E-1
8.716579166E-2,4.555156410E-2,2.915065044E-1,-4.767006880E-1,5.606197758E-1
9.715379158E-2,1.785501386E-1,4.299130225E-1,-3.548610860E-1,5.853475457E-1
1.071427916E-1,3.019522628E-1,4.010295314E-1,-3.384853739E-1,6.054520645E-1
1.171317917E-1,2.601128036E-1,3.980474514E-1,-3.992999250E-1,6.209193782E-1
1.271207916E-1,1.282732934E-1,4.500344610E-1,-4.759235930E-1,6.674491144E-1
1.371087916E-1,-4.136057228E-2,5.795339155E-1,-5.259091008E-1,7.836776368E-1
1.470977917E-1,-2.682338552E-1,7.362673616E-1,-4.967887974E-1,9.278136333E-1
1.570867916E-1,-4.348968968E-1,9.019254130E-1,-4.345054257E-1,1.091512586E0
1.670747916E-1,-6.147649978E-1,9.404281586E-1,-3.014251363E-1,1.163270492E0
1.770637917E-1,-7.106635737E-1,7.048520261E-1,-1.427305341E-1,1.011054449E0
1.870527916E-1,-6.404195103E-1,2.675545549E-1,-1.932095468E-2,6.943312526E-1
1.970417916E-1,-6.246551245E-1,1.181535172E-1,1.218758547E-1,6.473082745E-1
2.070297917E-1,-6.343473230E-1,2.621634221E-1,3.171167243E-1,7.561013179E-1
2.170187916E-1,-4.071280311E-1,6.068684793E-1,6.046342582E-1,9.484857252E-1
2.270077916E-1,-1.533477621E-1,8.401104033E-1,1.119728934E0,1.408223672E0
2.369957917E-1,-4.892549524E-1,9.315713811E-1,1.806950435E0,2.090996299E0
2.469847916E-1,-1.180935394E0,1.113201687E0,2.094104857E0,2.649358706E0
2.569737916E-1,-1.847898340E0,1.510178513E0,2.619694115E0,3.543750086E0
2.669627916E-1,-1.982355356E0,1.736166381E0,2.822392523E0,3.861334746E0
2.769507916E-1,-1.632373041E0,2.078161254E0,2.810614477E0,3.857842620E0
2.869397916E-1,-1.304478290E0,2.631954557E0,2.760275797E0,4.030877184E0
2.969287916E-1,-1.284491045E0,3.249079637E0,2.762411785E0,4.453914526E0
3.069167916E-1,-9.927417353E-1,4.145656602E0,3.035539906E0,5.233211952E0
3.169057916E-1,-1.325013273E0,5.282099801E0,3.079142008E0,6.255985453E0
3.268947916E-1,-2.080006197E0,6.213630837E0,2.765540045E0,7.112232118E0
3.368837916E-1,-2.011393214E0,6.731983581E0,2.702552669E0,7.527887919E0
3.468717916E-1,-1.562631253E0,6.670915260E0,3.611887089E0,7.745234353E0
3.568607916E-1,-2.346500651E0,5.488271456E0,4.520339749E0,7.487366715E0
3.668497916E-1,-2.680698701E0,4.145841374E0,4.435194933E0,6.636648274E0
3.768377916E-1,-2.298748634E0,3.257147040E0,4.419916159E0,5.952218996E0
3.868267916E-1,-1.681114992E0,2.565944754E0,4.085582893E0,5.109031970E0
3.968157916E-1,-9.846693617E-1,2.184891651E0,3.624201910E0,4.344901007E0
4.068047917E-1,-7.282161842E-1,1.517890406E0,2.543596696E0,3.050274454E0
4.167927916E-1,-8.200613241E-1,5.539897692E-1,1.325673131E0,1.654332038E0
4.267817916E-1,-8.199671839E-1,-3.112098670E-1,8.307805860E-1,1.208053867E0
4.367707917E-1,-2.903363304E-1,-9.626370531E-1,7.282929289E-1,1.241521595E0
4.467597916E-1,3.370393574E-1,-1.538745085E0,2.356807977E-1,1.592757798E0
4.567477916E-1,6.273017205E-1,-2.089263362E0,-8.043172574E-1,2.324963461E0
4.667367917E-1,7.681415574E-1,-2.690990970E0,-1.885867966E0,3.374606916E0
4.767257916E-1,5.764413232E-1,-3.382565723E0,-2.666049671E0,4.345325801E0
4.867137916E-1,7.349657714E-2,-4.016161240E0,-3.119880729E0,5.086119210E0
4.967027917E-1,-1.005443349E-2,-4.349356638E0,-3.331488540E0,5.478669560E0
5.066917916E-1,3.563161656E-1,-4.460950749E0,-2.969541214E0,5.370774415E0
5.166807916E-1,8.800695442E-1,-4.596262336E0,-2.456036981E0,5.285098628E0
5.266687917E-1,1.353214833E0,-4.733683013E0,-2.171046613E0,5.380742389E0
5.366577916E-1,1.565220839E0,-4.611970881E0,-1.997115337E0,5.263901723E0
5.466467916E-1,1.528828207E0,-4.279644964E0,-2.016916348E0,4.971984338E0
5.566347917E-1,1.525222376E0,-3.898923397E0,-2.075263959E0,4.672753733E0
5.666237916E-1,1.595183141E0,-3.504231078E0,-2.042244147E0,4.358326039E0
5.766127916E-1,1.685596883E0,-3.139507493E0,-1.584860321E0,3.899939280E0
5.866017917E-1,1.734850904E0,-2.766372104E0,-9.226841980E-1,3.393209161E0
5.965897916E-1,1.836243524E0,-2.361676369E0,-4.713370371E-1,3.028442529E0
6.065790833E-1,1.869381887E0,-2.027926655E0,-2.884712148E-1,2.773137357E0
6.165680833E-1,1.824392241E0,-1.709680833E0,-4.363841361E-1,2.538079336E0
6.265560833E-1,1.779889375E0,-1.545733677E0,-4.449251640E-1,2.399011711E0
6.365450833E-1,1.808673463E0,-1.449581478E0,-4.670767558E-1,2.364476021E0
6.465340833E-1,1.653762740E0,-1.299839548E0,-6.749101889E-1,2.209076236E0
6.565230833E-1,1.367792526E0,-1.361817110E0,-6.720526546E-1,2.043784971E0
6.665110833E-1,9.424510029E-1,-1.477739330E0,-5.579103273E-1,1.839345360E0
6.765000833E-1,6.972506458E-1,-1.422071498E0,-3.651001453E-1,1.625344248E0
6.864890833E-1,6.689974844E-1,-1.369774001E0,-1.157064575E-1,1.528799017E0
6.964770833E-1,5.971046524E-1,-1.402495020E0,-2.176216722E-2,1.524467067E0
7.064660833E-1,4.570981899E-1,-1.345083548E0,-2.347604460E-1,1.439896168E0
7.164550832E-1,2.060076401E-1,-1.296780869E0,-5.140971404E-1,1.410097742E0
7.264440833E-1,1.482343720E-1,-1.176865001E0,-8.391771877E-1,1.452997940E0
7.364320833E-1,1.243004027E-1,-9.424425244E-1,-9.435388774E-1,1.339370791E0
7.464210832E-1,5.949439600E-2,-7.502281737E-1,-7.493405664E-1,1.062023154E0
7.564100833E-1,1.029373080E-2,-5.282491565E-1,-6.845715433E-1,8.647492875E-1
7.663980833E-1,-4.862398356E-3,-3.466802466E-1,-7.342032945E-1,8.119515466E-1
7.763870832E-1,8.129383922E-2,-2.776433408E-2,-7.577745903E-1,7.626282687E-1
7.863760833E-1,3.344541572E-1,2.758353817E-1,-6.506530148E-1,7.818529828E-1
7.963650833E-1,2.529669213E-1,4.377570623E-1,-4.842757559E-1,7.001046469E-1
8.063530832E-1,-8.574123144E-2,5.291706777E-1,-3.092077804E-1,6.188558930E-1
8.163420833E-1,-3.958584000E-1,5.576512957E-1,-2.545269585E-1,7.297004954E-1
8.263310833E-1,-6.877435116E-1,4.764416564E-1,-7.610969782E-2,8.401074192E-1
8.363190832E-1,-8.470544104E-1,2.541726172E-1,8.430515528E-2,8.883761888E-1
8.463080833E-1,-8.006685948E-1,1.335018736E-1,2.529651672E-1,8.502260434E-1
8.562970833E-1,-5.244253698E-1,2.031311023E-1,3.238457000E-1,6.489686053E-1
8.662860832E-1,-2.258424188E-1,3.310430378E-1,3.160320657E-1,5.103631624E-1
