"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.238541668E-3,2.204508474E-1,-2.266848564E-2,-3.863430798E-2,2.249556537E-1
1.629254167E-2,3.177077316E-1,-4.531767547E-2,-1.152650658E-1,3.409954982E-1
2.634754167E-2,2.620752753E-1,-4.788051009E-2,-1.603231249E-1,3.109332687E-1
3.640254168E-2,1.042543933E-1,2.713108063E-3,-2.326361525E-1,2.549429719E-1
4.645754167E-2,3.331699625E-2,1.068754077E-2,-1.871377250E-1,1.903806027E-1
5.651254168E-2,-2.656916320E-2,-7.958060503E-3,-1.754211473E-1,1.776001973E-1
6.656754167E-2,-3.974250153E-2,-1.490338326E-2,-1.401145629E-1,1.464024180E-1
7.662254167E-2,-8.709149972E-2,-5.135024786E-3,-5.053697325E-2,1.008230304E-1
8.667754167E-2,-4.106148720E-2,-4.453824162E-2,2.423436999E-2,6.524573079E-2
9.673154168E-2,1.000030290E-1,-5.171745300E-2,7.306921877E-2,1.342177763E-1
1.067865417E-1,1.962986308E-1,-2.061026573E-2,6.511810184E-2,2.078420138E-1
1.168415417E-1,1.396451046E-1,5.916212797E-2,1.280744150E-1,1.985043284E-1
1.268965417E-1,-4.998433828E-2,4.568897367E-2,1.979253262E-1,2.091897492E-1
1.369515417E-1,-5.969232425E-2,3.602937341E-2,9.038750209E-2,1.141542371E-1
1.470065417E-1,-2.790510580E-2,2.867708445E-2,1.159585456E-1,1.226680659E-1
1.570615417E-1,-2.689090624E-2,4.350328445E-2,1.543694899E-1,1.626210196E-1
1.671165417E-1,5.767547339E-3,5.332660675E-2,1.105282364E-1,1.228555356E-1
1.771722917E-1,-1.778576821E-2,7.353692293E-2,1.166022509E-1,1.389967536E-1
1.872262917E-1,1.141683474E-2,8.480684638E-2,1.513792238E-1,1.738913877E-1
1.972812917E-1,6.736109376E-2,4.026509643E-2,8.298017621E-2,1.142125413E-1
2.073362917E-1,1.130880743E-1,3.177961707E-3,5.324708462E-2,1.250370506E-1
2.173912917E-1,8.214870214E-2,3.603054285E-3,5.615958273E-2,9.957554919E-2
2.274462917E-1,1.420961112E-2,-2.003489971E-2,4.940137088E-2,5.517069602E-2
2.375012917E-1,-2.713400424E-3,-2.552309632E-2,3.088663761E-2,4.015937463E-2
2.475562917E-1,-2.478766277E-2,-4.509255767E-2,3.682802998E-2,6.327772732E-2
2.576112917E-1,-3.248859197E-3,-6.828963161E-2,-1.829666868E-3,6.839134851E-2
2.676652917E-1,-5.605053216E-2,-7.914674163E-2,-2.787835479E-2,1.009112062E-1
2.777202917E-1,-1.040017936E-1,-8.270126402E-2,-6.788325012E-2,1.492112857E-1
2.877752917E-1,-7.544472322E-2,-5.253255486E-2,-8.752572857E-2,1.269343482E-1
2.978302917E-1,-5.439036146E-2,-4.666078091E-2,-6.359132074E-2,9.580916432E-2
3.078852917E-1,-4.194149315E-2,-4.472242892E-2,-5.500252839E-2,8.236784947E-2
3.179402917E-1,-2.407196358E-2,-2.137975931E-2,-7.391808830E-2,8.062528956E-2
3.279952917E-1,5.458302721E-2,-4.164445460E-2,-7.436609466E-2,1.012120719E-1
3.380502917E-1,1.411620185E-1,-6.140336573E-2,-1.079765480E-1,1.880319752E-1
3.481042917E-1,1.830811460E-1,-5.007497013E-2,-1.215069320E-1,2.253666861E-1
3.581592917E-1,1.395724529E-1,5.803361535E-3,-1.328066397E-1,1.927478979E-1
3.682142917E-1,3.196131930E-2,-6.193955541E-3,-9.527339894E-2,1.006822306E-1
3.782692917E-1,2.400325879E-2,-8.736909628E-3,-1.294059356E-1,1.319029423E-1
3.883242917E-1,3.504119396E-2,-1.779307723E-2,-1.458126014E-1,1.510158721E-1
3.983792917E-1,-7.543843746E-2,4.558957100E-2,-7.901232876E-2,1.183736243E-1
