"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.466166694E-3,2.607396251E-1,1.345375617E-1,-1.286820722E0,1.319845854E0
1.145516674E-2,7.775919735E-2,2.049016392E-1,-1.384779126E0,1.402014409E0
2.144516667E-2,2.811282814E-2,2.585850723E-1,-1.077229616E0,1.108187807E0
3.143416671E-2,1.044692785E-1,2.626659903E-1,-4.833863944E-1,5.599729091E-1
4.142416676E-2,1.321362564E-1,2.441450809E-1,1.500027162E-1,3.155433816E-1
5.141316669E-2,1.767271230E-1,2.205748084E-1,5.818663698E-1,6.468803556E-1
6.140316674E-2,2.694069529E-1,1.796546777E-1,7.703706622E-1,8.356595399E-1
7.139216678E-2,3.521602571E-1,1.959282097E-1,7.329192460E-1,8.364061998E-1
8.138116670E-2,3.774936113E-1,2.571929964E-1,5.951015425E-1,7.501969807E-1
9.137116675E-2,3.221488380E-1,3.111177734E-1,3.946104580E-1,5.969016304E-1
1.013601667E-1,1.372432145E-1,3.798288430E-1,1.838142407E-1,4.437266332E-1
1.113501667E-1,-1.968871531E-1,4.085316552E-1,7.189268589E-2,4.591636121E-1
1.213391668E-1,-4.071688154E-1,4.148735453E-1,-5.024161577E-2,5.834644144E-1
1.313291667E-1,-4.743857753E-1,3.981044617E-1,-3.078909874E-1,6.916110803E-1
1.413181667E-1,-5.316344020E-1,4.457415815E-1,-4.619195116E-1,8.334808516E-1
1.513081667E-1,-3.544582129E-2,5.863776429E-1,-4.523312473E-1,7.414166869E-1
1.612971667E-1,6.449660128E-1,5.649639697E-1,1.204883105E-1,8.658422938E-1
1.712871668E-1,-7.655586961E-1,7.460221253E-1,5.722669959E-1,1.212484492E0
1.812761667E-1,5.085887709E-1,7.287794173E-1,2.359351516E-1,9.194821220E-1
1.912661667E-1,3.548555312E-1,7.545290201E-1,7.094070071E-1,1.094757869E0
2.012551667E-1,-4.322606796E-1,8.814961186E-1,2.585334706E-1,1.015245910E0
2.112451667E-1,-7.633832395E-2,9.001004970E-1,-4.844447404E-1,1.025034219E0
2.212341668E-1,-1.606399709E-1,6.287717105E-1,-6.518926245E-1,9.198494758E-1
2.312241667E-1,-5.132270747E-1,3.837528364E-1,-8.590366709E-1,1.071733302E0
2.412131667E-1,-1.011836257E0,1.730008386E-1,-8.595032787E-1,1.338838223E0
2.512031667E-1,-1.092649601E0,-7.651615240E-2,-6.167882806E-1,1.257046401E0
2.611921667E-1,-7.260012589E-1,-1.138901661E-1,-3.236468947E-1,8.029919740E-1
2.711819167E-1,3.035384662E-2,6.506514799E-1,-2.208265311E-1,6.877739898E-1
2.811709167E-1,1.977456705E0,-2.566836309E-1,-4.327676332E-1,2.040467920E0
2.911599167E-1,1.189162134E0,-2.767083345E-1,1.105290989E0,1.646919019E0
3.011499167E-1,1.065602866E0,1.558741247E-1,1.961130987E0,2.237373674E0
